   Step          Temp          Press          Volume        Density         TotEng         PotEng         KinEng    
    230000   3320.6556      48.273059      246221.06      0.80438438    -208610.56     -210934.41      2323.8427    
    231000   3327.9047     -530.06688      246130.83      0.80467928    -208596.55     -210925.47      2328.9157    
    232000   3327.0953     -880.25548      246037.34      0.80498502    -208583.75     -210912.1       2328.3493    
    233000   3324.0472     -612.89499      245968.28      0.80521106    -208572.31     -210898.53      2326.2162    
    234000   3318.8819      1717.0919      245905.73      0.80541586    -208562.17     -210884.77      2322.6014    
    235000   3336.9906      323.47256      245878.59      0.80550477    -208553.34     -210888.61      2335.2741    
    236000   3344.1027      1254.9976      245866.28      0.80554509    -208545.87     -210886.12      2340.2513    
    237000   3345.6335      2089.7259      245889.28      0.80546975    -208539.62     -210880.94      2341.3226    
    238000   3376.2478     -1610.1217      245873.25      0.80552225    -208534.92     -210897.66      2362.7469    
    239000   3351.6055      1132.5487      245903.83      0.80542209    -208531.49     -210877         2345.5019    
    240000   3304.4821      570.96491      245903.06      0.80542462    -208529.32     -210841.84      2312.5243    
    241000   3349.9642     -2092.5811      245889.83      0.80546796    -208528.75     -210873.1       2344.3533    
    242000   3356.8773     -475.40412      245771.4       0.80585606    -208529.57     -210878.76      2349.1912    
    243000   3363.6492     -2301.0861      245633.52      0.80630841    -208531.75     -210885.68      2353.9302    
    244000   3336.6985      859.71087      245485.89      0.80679333    -208535.39     -210870.46      2335.0697    
    245000   3333.965      -1081.0843      245384.58      0.80712641    -208540.4      -210873.56      2333.1568    
    246000   3355.859       2632.3363      245232.24      0.80762781    -208546.65     -210895.13      2348.4786    
    247000   3376.6257      850.0094       245128.1       0.80797092    -208554.37     -210917.38      2363.0114    
    248000   3377.081       1201.5732      245045.01      0.80824488    -208563.44     -210926.77      2363.33      
    249000   3327.6797      1095.8813      244975.38      0.80847461    -208573.59     -210902.35      2328.7583    
    250000   3325.7483     -540.86446      244965.45      0.80850739    -208585.15     -210912.55      2327.4067    
    251000   3350.4751     -2015.9487      244995.12      0.80840947    -208597.94     -210942.65      2344.7108    
    252000   3298.7817      486.0287       245038.83      0.80826528    -208611.81     -210920.34      2308.535     
    253000   3300.4376     -2708.1434      245047.01      0.80823828    -208626.87     -210936.57      2309.6938    
    254000   3328.3541     -438.30467      244976.17      0.80847199    -208643.15     -210972.38      2329.2302    
    255000   3263.4887     -717.56411      244885.08      0.80877275    -208660.3      -210944.13      2283.8365    
    256000   3277.7185     -2588.6171      244838.52      0.80892654    -208678.53     -210972.33      2293.7947    
    257000   3248.0001      1536.0346      244711.92      0.80934504    -208697.6      -210970.6       2272.9973    
    258000   3281.7915     -630.36376      244566.48      0.80982634    -208717.6      -211014.25      2296.645     
    259000   3251.0275      2441.3486      244376.35      0.81045639    -208738.43     -211013.55      2275.1159    
    260000   3218.6223     -1067.8378      244195.44      0.81105683    -208759.62     -211012.06      2252.4383    
    261000   3211.8319     -1556.5493      243984.58      0.81175776    -208781.68     -211029.36      2247.6863    
    262000   3197.9239      344.76959      243776.61      0.81245028    -208804.21     -211042.17      2237.9533    
    263000   3207.0581      482.89001      243578.05      0.81311259    -208827.25     -211071.59      2244.3455    
    264000   3110.8187      268.4674       243328.47      0.81394658    -208850.47     -211027.47      2176.9958    
    265000   3102.8547      1456.5398      243023.02      0.81496961    -208874.22     -211045.65      2171.4224    
    266000   3129.2524     -483.98842      242683.89      0.81610845    -208898.3      -211088.19      2189.896     
    267000   3071.8389     -1515.1257      242356.32      0.81721153    -208922.51     -211072.23      2149.7172    
    268000   3121.2667     -911.01063      242045.64      0.81826046    -208946.83     -211131.14      2184.3074    
    269000   3114.6295      575.31574      241726.36      0.81934123    -208971.72     -211151.38      2179.6627    
    270000   3062.8106      867.03523      241467.21      0.82022059    -208996.13     -211139.53      2143.399     
    271000   3028.2903      1836.3369      241223.2       0.82105027    -209020.53     -211139.77      2119.2413    
    272000   3086.1704      524.38869      241073.41      0.82156042    -209044.78     -211204.53      2159.7466    
    273000   3032.6313      998.17219      241049.24      0.82164282    -209068.85     -211191.13      2122.2792    
    274000   3036.7631      2208.0064      241035.77      0.82168875    -209092.88     -211218.05      2125.1706    
